"mes","año","total"
"01","2008","221969"
"02","2008","203067"
"03","2008","220452"
"04","2008","166174"
"05","2008","150072"
"06","2008","176324"
"07","2008","198244"
"08","2008","168415"
"09","2008","117090"
"10","2008","124284"
"11","2008","152448"
"12","2008","183257"
"01","2009","222602"
"02","2009","168066"
"03","2009","179098"
"04","2009","164868"
"05","2009","130365"
"06","2009","158729"
"07","2009","180487"
"08","2009","158917"
"09","2009","112842"
"10","2009","112221"
"11","2009","145151"
"12","2009","186354"
"01","2010","231584"
"02","2010","194925"
"03","2010","207609"
"04","2010","169187"
"05","2010","148031"
"06","2010","168846"
"07","2010","193470"
"08","2010","163677"
"09","2010","119950"
"10","2010","126112"
"11","2010","157670"
"12","2010","200951"
"01","2011","250796"
"02","2011","209682"
"03","2011","220855"
"04","2011","184185"
"05","2011","149623"
"06","2011","176026"
"07","2011","201899"
"08","2011","161173"
"09","2011","120743"
"10","2011","128480"
"11","2011","166200"
"12","2011","211998"
"01","2012","269931"
"02","2012","226714"
"03","2012","237679"
"04","2012","194670"
"05","2012","158878"
"06","2012","188887"
"07","2012","211657"
"08","2012","173383"
"09","2012","127164"
"10","2012","138845"
"11","2012","178149"
"12","2012","223531"
"01","2013","276169"
"02","2013","228513"
"03","2013","248262"
"04","2013","195983"
"05","2013","167740"
"06","2013","195952"
